Time,Co2(PPM),Temp,RH(%)
00:00:00,513,29.79,0.00
00:00:00,513,29.79,0.00
00:00:03,513,29.79,0.00
00:00:06,512,29.79,0.00
00:00:09,512,29.79,0.00
00:00:12,512,29.79,0.00
00:00:15,512,29.79,0.00
00:00:18,512,29.79,0.00
00:00:21,512,29.79,0.00
00:00:24,512,29.79,0.00
00:00:27,511,29.79,0.00
00:00:30,511,29.79,0.00
00:00:33,511,29.79,0.00
00:00:36,511,29.79,0.00
00:00:39,511,29.79,0.00
00:00:42,511,29.79,0.00
00:00:45,511,29.79,0.00
00:00:48,512,29.79,0.00
00:00:51,512,29.79,0.00
00:00:54,512,29.79,0.00
00:00:57,512,29.79,0.00
00:01:00,512,29.79,0.00
00:01:03,512,29.79,0.00
00:01:06,513,29.79,0.00
00:01:09,513,29.79,0.00
00:01:12,513,29.79,0.00
00:01:15,513,29.79,0.00
00:01:18,515,29.79,0.00
00:01:21,515,29.79,0.00
00:01:24,515,29.79,0.00
00:01:27,515,29.79,0.00
00:01:30,515,29.79,0.00
00:01:33,515,29.79,0.00
00:01:36,515,29.79,0.00
00:01:39,515,29.79,0.00
00:01:42,515,29.79,0.00
00:01:45,515,29.79,0.00
00:01:48,515,29.79,0.00
00:01:51,515,29.79,0.00
00:01:54,515,29.79,0.00
00:01:57,513,29.79,0.00
00:02:00,513,29.79,0.00
00:02:03,513,29.79,0.00
00:02:06,513,29.79,0.00
00:02:09,512,29.79,0.00
00:02:12,512,29.79,0.00
00:02:15,512,29.79,0.00
00:02:18,511,29.85,0.00
00:02:21,511,29.85,0.00
00:02:24,511,29.79,0.00
00:02:27,509,29.79,0.00
00:02:30,509,29.79,0.00
00:02:33,509,29.79,0.00
00:02:36,509,29.79,0.00
00:02:39,506,29.79,0.00
00:02:42,506,29.79,0.00
00:02:45,506,29.79,0.00
00:02:48,504,29.79,0.00
00:02:51,504,29.79,0.00
00:02:54,504,29.79,0.00
00:02:57,503,29.79,0.00
00:03:00,503,29.79,0.00
00:03:03,503,29.79,0.00
00:03:06,503,29.79,0.00
00:03:09,503,29.79,0.00
00:03:12,503,29.79,0.00
00:03:15,503,29.79,0.00
00:03:18,503,29.79,0.00
00:03:21,503,29.79,0.00
00:03:24,503,29.79,0.00
00:03:27,503,29.79,0.00
00:03:30,503,29.79,0.00
00:03:33,503,29.79,0.00
00:03:36,503,29.79,0.00
00:03:39,502,29.79,0.00
00:03:42,502,29.79,0.00
00:03:45,502,29.79,0.00
00:03:48,503,29.79,0.00
00:03:51,503,29.79,0.00
00:03:54,503,29.79,0.00
00:03:57,503,29.79,0.00
00:04:00,503,29.79,0.00
00:04:03,503,29.79,0.00
00:04:06,503,29.79,0.00
00:04:09,503,29.79,0.00
00:04:12,503,29.79,0.00
00:04:15,503,29.79,0.00
00:04:18,502,29.79,0.00
00:04:21,502,29.79,0.00
00:04:24,502,29.79,0.00
00:04:27,501,29.79,0.00
00:04:30,501,29.85,0.00
00:04:33,501,29.79,0.00
00:04:36,501,29.79,0.00
00:04:39,501,29.85,0.00
00:04:42,501,29.85,0.00
00:04:45,501,29.79,0.00
00:04:48,501,29.79,0.00
00:04:51,501,29.79,0.00
00:04:54,501,29.79,0.00
00:04:57,501,29.79,0.00
00:05:00,501,29.79,0.00
00:05:03,501,29.79,0.00
00:05:06,501,29.79,0.00
00:05:09,501,29.79,0.00
00:05:12,501,29.79,0.00
00:05:15,501,29.79,0.00
00:05:18,501,29.79,0.00
00:05:21,501,29.79,0.00
00:05:24,501,29.79,0.00
00:05:27,501,29.79,0.00
00:05:30,502,29.79,0.00
00:05:33,502,29.79,0.00
00:05:36,502,29.79,0.00
00:05:39,501,29.79,0.00
00:05:42,501,29.79,0.00
00:05:45,501,29.79,0.00
00:05:48,502,29.79,0.00
00:05:51,502,29.79,0.00
00:05:54,502,29.79,0.00
00:05:57,502,29.79,0.00
00:06:00,503,29.79,0.00
00:06:03,503,29.79,0.00
00:06:06,503,29.79,0.00
00:06:09,504,29.79,0.00
00:06:12,504,29.79,0.00
00:06:15,504,29.79,0.00
00:06:18,506,29.79,0.00
00:06:21,506,29.79,0.00
00:06:24,506,29.79,0.00
00:06:27,506,29.79,0.00
00:06:30,506,29.79,0.00
00:06:33,506,29.79,0.00
00:06:36,506,29.79,0.00
00:06:39,507,29.79,0.00
00:06:42,507,29.79,0.00
00:06:45,507,29.79,0.00
00:06:48,507,29.79,0.00
00:06:51,507,29.79,0.00
00:06:54,507,29.79,0.00
00:06:57,507,29.79,0.00
00:07:00,507,29.79,0.00
00:07:03,507,29.79,0.00
00:07:06,507,29.79,0.00
00:07:09,507,29.79,0.00
00:07:12,507,29.79,0.00
00:07:15,507,29.79,0.00
00:07:18,510,29.79,0.00
00:07:21,510,29.79,0.00
00:07:24,510,29.79,0.00
00:07:27,510,29.79,0.00
00:07:30,511,29.79,0.00
00:07:33,511,29.79,0.00
00:07:36,511,29.79,0.00
00:07:39,511,29.79,0.00
00:07:42,511,29.79,0.00
00:07:45,511,29.79,0.00
00:07:48,512,29.79,0.00
00:07:51,512,29.79,0.00
00:07:54,512,29.79,0.00
00:07:57,512,29.79,0.00
00:08:00,512,29.79,0.00
00:08:03,512,29.79,0.00
00:08:06,512,29.79,0.00
00:08:09,512,29.79,0.00
00:08:12,512,29.79,0.00
00:08:15,512,29.79,0.00
00:08:18,512,29.79,0.00
00:08:21,512,29.79,0.00
00:08:24,512,29.79,0.00
00:08:27,512,29.79,0.00
00:08:30,512,29.79,0.00
00:08:33,512,29.79,0.00
00:08:36,512,29.79,0.00
00:08:39,512,29.79,0.00
00:08:42,512,29.79,0.00
00:08:45,512,29.79,0.00
00:08:48,512,29.79,0.00
00:08:51,512,29.79,0.00
00:08:54,512,29.79,0.00
00:08:57,512,29.79,0.00
00:09:00,513,29.79,0.00
00:09:03,513,29.79,0.00
00:09:06,513,29.79,0.00
00:09:09,515,29.79,0.00
00:09:12,515,29.79,0.00
00:09:15,515,29.79,0.00
00:09:18,515,29.79,0.00
00:09:21,515,29.79,0.00
00:09:24,515,29.79,0.00
00:09:27,515,29.79,0.00
00:09:30,518,29.79,0.00
00:09:33,518,29.79,0.00
00:09:36,518,29.79,0.00
00:09:39,518,29.79,0.00
00:09:42,518,29.79,0.00
00:09:45,518,29.79,0.00
00:09:48,518,29.79,0.00
00:09:51,519,29.79,0.00
00:09:54,519,29.79,0.00
00:09:57,519,29.79,0.00
00:10:00,520,29.79,0.00
00:10:03,520,29.79,0.00
00:10:06,520,29.79,0.00
00:10:09,521,29.79,0.00
00:10:12,521,29.79,0.00
00:10:15,521,29.79,0.00
00:10:18,521,29.79,0.00
00:10:21,521,29.79,0.00
00:10:24,521,29.79,0.00
00:10:27,521,29.79,0.00
00:10:30,521,29.79,0.00
00:10:33,521,29.79,0.00
00:10:36,521,29.79,0.00
00:10:39,522,29.79,0.00
00:10:42,522,29.79,0.00
00:10:45,522,29.79,0.00
00:10:48,522,29.79,0.00
00:10:51,522,29.79,0.00
00:10:54,522,29.79,0.00
00:10:57,522,29.79,0.00
00:11:00,523,29.79,0.00
00:11:03,523,29.79,0.00
00:11:06,523,29.79,0.00
00:11:09,525,29.79,0.00
00:11:12,525,29.79,0.00
00:11:15,525,29.79,0.00
00:11:18,525,29.79,0.00
00:11:21,526,29.79,0.00
00:11:24,526,29.79,0.00
00:11:27,526,29.79,0.00
00:11:30,526,29.79,0.00
00:11:33,526,29.79,0.00
00:11:36,526,29.79,0.00
00:11:39,527,29.79,0.00
00:11:42,527,29.79,0.00
00:11:45,527,29.79,0.00
00:11:48,527,29.79,0.00
00:11:51,527,29.79,0.00
00:11:54,527,29.79,0.00
00:11:57,527,29.79,0.00
00:12:00,527,29.79,0.00
00:12:03,527,29.79,0.00
00:12:06,527,29.79,0.00
00:12:09,526,29.79,0.00
00:12:12,526,29.79,0.00
00:12:15,526,29.79,0.00
00:12:18,526,29.79,0.00
00:12:21,528,29.79,0.00
00:12:24,528,29.79,0.00
00:12:27,528,29.79,0.00
00:12:30,527,29.79,0.00
00:12:33,527,29.79,0.00
00:12:36,527,29.79,0.00
00:12:39,526,29.79,0.00
00:12:42,526,29.79,0.00
00:12:45,526,29.79,0.00
00:12:48,526,29.79,0.00
00:12:51,526,29.79,0.00
00:12:54,526,29.79,0.00
00:12:57,526,29.79,0.00
00:13:00,525,29.79,0.00
00:13:03,525,29.79,0.00
00:13:06,525,29.79,0.00
00:13:09,525,29.79,0.00
00:13:12,523,29.79,0.00
00:13:15,523,29.79,0.00
00:13:18,523,29.79,0.00
00:13:21,523,29.79,0.00
00:13:24,523,29.79,0.00
00:13:27,523,29.79,0.00
00:13:30,522,29.79,0.00
00:13:33,522,29.79,0.00
00:13:36,522,29.79,0.00
00:13:39,522,29.79,0.00
00:13:42,520,29.79,0.00
00:13:45,520,29.79,0.00
00:13:48,520,29.79,0.00
00:13:51,520,29.79,0.00
00:13:54,520,29.79,0.00
00:13:57,520,29.79,0.00
00:14:00,520,29.79,0.00
00:14:03,520,29.79,0.00
