Time,Co2(PPM),Temp,RH(%)
00:00:00,995,26.41,0.00
00:00:00,995,26.41,0.00
00:00:03,995,26.41,0.00
00:00:06,995,26.41,0.00
00:00:09,995,26.41,0.00
00:00:12,995,26.41,0.00
00:00:15,995,26.41,0.00
00:00:18,995,26.41,0.00
00:00:21,995,26.41,0.00
00:00:24,995,26.41,0.00
00:00:27,995,26.41,0.00
00:00:30,995,26.41,0.00
00:00:33,995,26.41,0.00
00:00:36,995,26.41,0.00
00:00:39,995,26.41,0.00
00:00:42,995,26.41,0.00
00:00:45,995,26.41,0.00
00:00:48,995,26.41,0.00
00:00:51,995,26.41,0.00
00:00:54,994,26.41,0.00
00:00:57,994,26.41,0.00
00:01:00,994,26.41,0.00
00:01:03,997,26.41,0.00
00:01:06,997,26.41,0.00
00:01:09,997,26.41,0.00
00:01:12,997,26.41,0.00
00:01:15,997,26.41,0.00
00:01:18,997,26.41,0.00
00:01:21,997,26.41,0.00
00:01:24,1000,26.41,0.00
00:01:27,1000,26.41,0.00
00:01:30,1000,26.41,0.00
00:01:33,1000,26.41,0.00
00:01:36,1000,26.41,0.00
00:01:39,1000,26.41,0.00
00:01:42,1000,26.41,0.00
00:01:45,1000,26.41,0.00
00:01:48,1000,26.41,0.00
00:01:51,1000,26.41,0.00
00:01:54,1000,26.41,0.00
00:01:57,1000,26.41,0.00
00:02:00,1000,26.41,0.00
00:02:03,1000,26.41,0.00
00:02:06,1000,26.41,0.00
00:02:09,1000,26.41,0.00
00:02:12,1000,26.41,0.00
00:02:15,998,26.41,0.00
00:02:18,998,26.41,0.00
00:02:21,998,26.41,0.00
00:02:24,1000,26.41,0.00
00:02:27,1000,26.41,0.00
00:02:30,1000,26.41,0.00
00:02:33,1000,26.41,0.00
00:02:36,1000,26.41,0.00
00:02:39,1000,26.41,0.00
00:02:42,1000,26.41,0.00
00:02:45,1000,26.41,0.00
00:02:48,1000,26.41,0.00
00:02:51,1000,26.41,0.00
00:02:54,1000,26.41,0.00
00:02:57,1000,26.41,0.00
00:03:00,1000,26.41,0.00
00:03:03,1000,26.41,0.00
00:03:06,1000,26.41,0.00
00:03:09,1000,26.41,0.00
00:03:12,1000,26.41,0.00
00:03:15,1000,26.41,0.00
00:03:18,1000,26.41,0.00
00:03:21,1000,26.41,0.00
00:03:24,1000,26.41,0.00
00:03:27,1000,26.41,0.00
