Time,Co2(PPM),Temp,RH(%)
11:03:30,851,0.00,0.00
11:03:33,851,0.00,0.00
11:03:36,851,24.79,0.00
11:03:39,851,24.79,0.00
11:03:42,851,24.79,0.00
11:03:45,851,24.79,0.00
11:03:48,851,24.79,0.00
11:03:51,851,24.79,0.00
11:03:54,850,24.79,0.00
11:03:57,850,24.79,0.00
11:04:00,850,24.79,0.00
11:04:03,850,24.79,0.00
11:04:06,850,24.79,0.00
11:04:09,850,24.79,0.00
11:04:12,850,24.79,0.00
11:04:15,848,24.79,0.00
11:04:18,848,24.79,0.00
11:04:21,848,24.79,0.00
11:04:24,847,24.79,0.00
11:04:27,847,24.79,0.00
11:04:30,847,24.79,0.00
11:04:33,847,24.79,0.00
11:04:36,847,24.79,0.00
11:04:39,847,24.79,0.00
11:04:42,847,24.79,0.00
11:04:45,846,24.79,0.00
11:04:48,846,24.79,0.00
11:04:51,846,24.79,0.00
11:04:54,844,24.79,0.00
11:04:57,844,24.79,0.00
11:05:00,844,24.79,0.00
11:05:03,844,24.79,0.00
11:05:06,844,24.79,0.00
11:05:09,844,24.79,0.00
11:05:12,844,24.79,0.00
11:05:15,843,24.79,0.00
11:05:18,843,24.79,0.00
11:05:21,843,24.79,0.00
11:05:24,843,24.79,0.00
11:05:27,840,24.85,0.00
11:05:30,840,24.79,0.00
11:05:33,840,24.79,0.00
11:05:36,837,24.79,0.00
11:05:39,837,24.79,0.00
11:05:42,837,24.79,0.00
11:05:45,836,24.79,0.00
11:05:48,836,24.79,0.00
11:05:51,836,24.79,0.00
11:05:54,836,24.79,0.00
11:05:57,834,24.79,0.00
11:06:00,834,24.79,0.00
11:06:03,834,24.79,0.00
11:06:06,833,24.79,0.00
11:06:09,833,24.79,0.00
11:06:12,833,24.85,0.00
11:06:15,832,24.79,0.00
11:06:18,832,24.79,0.00
11:06:21,832,24.79,0.00
11:06:24,832,24.79,0.00
11:06:27,831,24.79,0.00
11:06:30,831,24.79,0.00
11:06:33,831,24.79,0.00
11:06:36,831,24.79,0.00
11:06:39,831,24.79,0.00
11:06:42,831,24.79,0.00
11:06:45,830,24.79,0.00
11:06:48,830,24.79,0.00
11:06:51,830,24.79,0.00
11:06:54,830,24.79,0.00
11:06:57,830,24.79,0.00
11:07:00,830,24.79,0.00
11:07:03,830,24.85,0.00
11:07:06,831,24.85,0.00
11:07:09,831,24.85,0.00
11:07:12,831,24.79,0.00
11:07:15,831,24.79,0.00
11:07:18,831,24.79,0.00
11:07:21,831,24.79,0.00
11:07:24,831,24.79,0.00
11:07:27,831,24.85,0.00
11:07:30,831,24.85,0.00
11:07:33,831,24.79,0.00
11:07:36,833,24.85,0.00
11:07:39,833,24.85,0.00
11:07:42,833,24.79,0.00
11:07:45,834,24.79,0.00
11:07:48,834,24.85,0.00
11:07:51,834,24.85,0.00
11:07:54,834,24.85,0.00
11:07:57,836,24.85,0.00
11:08:00,836,24.85,0.00
11:08:03,836,24.85,0.00
11:08:06,837,24.79,0.00
11:08:09,837,24.79,0.00
11:08:12,837,24.85,0.00
11:08:15,837,24.85,0.00
11:08:18,837,24.79,0.00
11:08:21,837,24.79,0.00
11:08:24,837,24.79,0.00
11:08:27,839,24.79,0.00
11:08:30,839,24.79,0.00
11:08:33,839,24.79,0.00
11:08:36,840,24.79,0.00
11:08:39,840,24.79,0.00
11:08:42,840,24.79,0.00
11:08:45,840,24.79,0.00
11:08:48,840,24.79,0.00
11:08:51,840,24.79,0.00
11:08:54,840,24.79,0.00
11:08:57,843,24.79,0.00
11:09:00,843,24.79,0.00
11:09:03,843,24.79,0.00
11:09:06,844,24.79,0.00
11:09:09,844,24.79,0.00
11:09:12,844,24.79,0.00
11:09:15,844,24.79,0.00
11:09:18,846,24.79,0.00
11:09:21,846,24.79,0.00
11:09:24,846,24.79,0.00
11:09:27,847,24.79,0.00
11:09:30,847,24.79,0.00
11:09:33,847,24.79,0.00
11:09:36,850,24.79,0.00
11:09:39,850,24.79,0.00
11:09:42,850,24.79,0.00
11:09:45,850,24.79,0.00
11:09:48,851,24.79,0.00
11:09:51,851,24.79,0.00
11:09:54,851,24.79,0.00
11:09:57,856,24.79,0.00
11:10:00,856,24.79,0.00
11:10:03,856,24.79,0.00
11:10:06,857,24.79,0.00
11:10:09,857,24.79,0.00
11:10:12,857,24.79,0.00
11:10:15,857,24.79,0.00
11:10:18,858,24.79,0.00
11:10:21,858,24.79,0.00
11:10:24,858,24.79,0.00
11:10:27,861,24.79,0.00
11:10:30,861,24.79,0.00
11:10:33,861,24.79,0.00
11:10:36,862,24.79,0.00
11:10:39,862,24.79,0.00
11:10:42,862,24.79,0.00
11:10:45,862,24.79,0.00
11:10:48,862,24.79,0.00
11:10:51,862,24.79,0.00
11:10:54,862,24.79,0.00
11:10:57,861,24.79,0.00
11:11:00,861,24.79,0.00
11:11:03,861,24.79,0.00
11:11:06,861,24.79,0.00
11:11:09,861,24.79,0.00
11:11:12,861,24.79,0.00
11:11:15,861,24.79,0.00
11:11:18,861,24.79,0.00
11:11:21,861,24.79,0.00
11:11:24,861,24.79,0.00
11:11:27,861,24.79,0.00
11:11:30,861,24.79,0.00
11:11:33,861,24.79,0.00
11:11:36,861,24.79,0.00
11:11:39,861,24.79,0.00
11:11:42,861,24.79,0.00
11:11:45,861,24.79,0.00
11:11:48,861,24.79,0.00
11:11:51,861,24.79,0.00
11:11:54,861,24.79,0.00
11:11:57,862,24.79,0.00
11:12:00,862,24.79,0.00
11:12:03,862,24.79,0.00
11:12:06,864,24.79,0.00
11:12:09,864,24.79,0.00
11:12:12,864,24.85,0.00
11:12:15,864,24.85,0.00
11:12:18,862,24.79,0.00
11:12:21,862,24.79,0.00
11:12:24,862,24.79,0.00
11:12:27,862,24.79,0.00
11:12:30,862,24.79,0.00
11:12:33,862,24.79,0.00
11:12:36,861,24.79,0.00
11:12:39,861,24.79,0.00
11:12:42,861,24.85,0.00
11:12:45,861,24.85,0.00
11:12:48,861,24.79,0.00
11:12:51,861,24.79,0.00
11:12:54,861,24.79,0.00
11:12:57,862,24.79,0.00
11:13:00,862,24.79,0.00
11:13:03,862,24.79,0.00
11:13:06,862,24.79,0.00
11:13:09,864,24.79,0.00
11:13:12,864,24.79,0.00
11:13:15,864,24.79,0.00
11:13:18,866,24.85,0.00
11:13:21,866,24.85,0.00
11:13:24,866,24.85,0.00
11:13:27,866,24.85,0.00
11:13:30,866,24.85,0.00
11:13:33,866,24.85,0.00
11:13:36,866,24.85,0.00
11:13:39,866,24.79,0.00
11:13:42,866,24.85,0.00
11:13:45,866,24.85,0.00
11:13:48,866,24.85,0.00
11:13:51,866,24.85,0.00
11:13:54,866,24.79,0.00
11:13:57,864,24.79,0.00
11:14:00,864,24.79,0.00
11:14:03,864,24.85,0.00
11:14:06,864,24.85,0.00
11:14:09,866,24.85,0.00
11:14:12,866,24.85,0.00
11:14:15,866,24.85,0.00
11:14:18,866,24.85,0.00
11:14:21,866,24.85,0.00
11:14:24,866,24.85,0.00
11:14:27,866,24.85,0.00
11:14:30,866,24.85,0.00
11:14:33,866,24.85,0.00
11:14:36,866,24.85,0.00
11:14:39,867,24.79,0.00
11:14:42,867,24.79,0.00
11:14:45,867,24.85,0.00
11:14:48,868,24.85,0.00
11:14:51,868,24.85,0.00
11:14:54,868,24.85,0.00
11:14:57,868,24.85,0.00
11:15:00,868,24.85,0.00
11:15:03,868,24.85,0.00
11:15:06,868,24.85,0.00
11:15:09,868,24.85,0.00
11:15:12,868,24.85,0.00
11:15:15,868,24.85,0.00
11:15:18,868,24.85,0.00
11:15:21,868,24.85,0.00
11:15:24,868,24.85,0.00
11:15:27,868,24.85,0.00
11:15:30,868,24.85,0.00
11:15:33,868,24.85,0.00
11:15:36,868,24.85,0.00
11:15:39,868,24.85,0.00
11:15:42,868,24.85,0.00
11:15:45,868,24.85,0.00
11:15:48,868,24.85,0.00
11:15:51,868,24.85,0.00
11:15:54,868,24.85,0.00
11:15:57,868,24.85,0.00
11:16:00,868,24.85,0.00
11:16:03,868,24.85,0.00
11:16:06,868,24.85,0.00
11:16:09,868,24.85,0.00
11:16:12,868,24.85,0.00
11:16:15,868,24.85,0.00
11:16:18,868,24.85,0.00
11:16:21,868,24.85,0.00
11:16:24,868,24.85,0.00
11:16:27,868,24.85,0.00
11:16:30,868,24.85,0.00
11:16:33,868,24.85,0.00
11:16:36,868,24.85,0.00
11:16:39,868,24.85,0.00
11:16:42,868,24.85,0.00
11:16:45,868,24.85,0.00
11:16:48,871,24.85,0.00
11:16:51,871,24.85,0.00
